,title,budget,id,original_language,popularity,revenue,vote_average,vote_count,nsfw_score
2296,Rocky II,7000000,1367,en,11.789813,200182160.0,6.9,948.0,0.188337415457
2297,Rocky III,17000000,1371,en,11.673366,270000000.0,6.6,894.0,0.129291817546
2298,Rocky IV,31000000,1374,en,10.25721,300473716.0,6.6,984.0,0.00876034796238
2299,Rocky V,42000000,1375,en,14.007329,119946358.0,5.3,688.0,0.0453898608685
2300,Clue,15000000,15196,en,7.720009,14643997.0,7.1,377.0,0.00744671281427
2307,The Karate Kid,8000000,1885,en,7.64499,90815558.0,6.9,913.0,0.0097062299028
2308,"The Karate Kid, Part II",113,8856,en,9.231318,115103979.0,5.9,457.0,0.00101355707739
2310,National Lampoon's Christmas Vacation,27000000,5825,en,9.802574,71320000.0,7.1,668.0,0.000915905227885
2311,You've Got Mail,65000000,9489,en,10.237996,250821495.0,6.3,859.0,0.00968705397099
2314,The Thin Red Line,52000000,8741,en,9.783966,98126565.0,7.2,793.0,0.00556703098118
2315,The Faculty,15000000,9276,en,13.462253,40283321.0,6.2,500.0,0.00432651583105
2318,Patch Adams,50000000,10312,en,12.52181,202292902.0,7.0,863.0,0.00101064215414
2320,A Civil Action,70000000,9422,pt,9.353499,56702901.0,6.1,113.0,0.060454621911
2323,Tea with Mussolini,12000000,10368,en,3.094893,21001563.0,5.8,32.0,0.00249450071715
2326,Affliction,6000000,31662,en,4.40959,6330054.0,5.8,56.0,0.000224083676585
2330,Playing by Heart,20000000,825,en,3.010088,3970078.0,6.6,49.0,0.0112907243893
2335,Virus,75000000,9423,en,7.116537,14010690.0,5.0,151.0,0.00239946180955
2337,Howard the Duck,37000000,10658,en,10.722672,37962774.0,5.1,227.0,0.00501101184636
2341,The Fly,700000,11815,en,8.407369,3000000.0,6.9,129.0,0.00436655338854
2342,The Fly,15000000,9426,en,13.534589,60629159.0,7.1,1038.0,0.00658980291337
2345,Armed and Dangerous,12000000,2620,en,5.037671,15945534.0,5.3,46.0,0.0501608327031
2346,The Texas Chain Saw Massacre,85000,30497,en,15.526413,30859000.0,7.1,617.0,0.0405769199133
2347,The Texas Chainsaw Massacre 2,4700000,16337,en,9.501011,8025872.0,5.8,142.0,0.019017342478
2349,Texas Chainsaw Massacre: The Next Generation,600000,16780,en,6.854576,185898.0,3.9,96.0,0.0219792090356
2354,The Name of the Rose,20000000,192,en,11.469751,77200000.0,7.2,739.0,0.000794715655502
2356,Peggy Sue Got Married,18000000,10013,en,7.471655,41382841.0,5.9,138.0,0.00972670316696
2357,Crocodile Dundee,5000000,9671,en,7.791212,328203506.0,6.3,512.0,0.0141397658736
2361,The Color of Money,13800000,11873,en,11.613655,52293982.0,6.7,297.0,0.000542787078302
2363,Heartbreak Ridge,15000000,10015,en,7.390012,42724017.0,6.5,270.0,0.056655973196
2372,She's All That,10000000,10314,en,7.064982,103166989.0,5.7,425.0,0.00814473908395
2374,"Blood, Guts, Bullets and Octane",7300,47139,en,0.137676,13674.0,6.0,3.0,7.97748143668e-05
2375,Peeping Tom,150000,11167,en,7.229587,83957.0,7.6,148.0,0.656073153019
2377,Payback,90000000,2112,en,9.112008,161626121.0,6.7,557.0,0.00255524506792
2378,Simply Irresistible,6000000,16172,en,6.053045,4398989.0,5.5,52.0,0.00277890521102
2383,Blast from the Past,35000000,11622,en,8.355977,40263020.0,6.3,247.0,0.000282516848529
2384,Message in a Bottle,80000000,10207,en,5.101392,118880016.0,5.9,198.0,0.0162238720804
2385,My Favorite Martian,65000000,9849,en,12.65102,36850101.0,5.1,81.0,0.0150754377246
2387,Jawbreaker,3000000,18892,en,7.434797,3076820.0,5.9,93.0,0.01385873463
2389,Office Space,10000000,1542,en,12.329066,12827813.0,7.4,1068.0,0.00978858023882
2391,200 Cigarettes,6000000,15256,en,3.227046,6852450.0,6.1,44.0,0.00287497509271
2392,8MM,40000000,8224,en,7.473718,96618699.0,6.1,479.0,0.00136891868897
2400,Pet Sematary,11500000,8913,en,8.365761,57469467.0,6.4,417.0,0.00428638001904
2401,Pet Sematary II,8000000,10906,en,6.823445,17092453.0,5.0,107.0,0.0166237391531
2402,Children of the Corn II: The Final Sacrifice,900000,25748,en,8.357875,6980986.0,4.5,50.0,0.00714720645919
2407,Airport,10000000,10671,en,7.873018,100489151.0,6.2,89.0,0.00394115131348
2408,Airport 1975,3000000,27932,en,8.480501,47000000.0,5.5,79.0,0.00204645236954
2409,Airport '77,6000000,7227,en,9.394776,30000000.0,5.8,69.0,0.000637611025013
2411,The Towering Inferno,14000000,5919,en,7.469056,116000000.0,7.1,230.0,0.132956698537
2415,Logan's Run,9000000,10803,en,6.842274,25000000.0,6.6,272.0,0.000408721709391
2416,Planet of the Apes,5800000,871,en,17.784978,33395426.0,7.5,958.0,0.000217365071876
2417,Beneath the Planet of the Apes,3000000,1685,en,12.325947,18999718.0,6.2,370.0,0.00753817800432
2418,Battle for the Planet of the Apes,1700000,1705,en,11.644764,8844595.0,5.5,220.0,0.00222156615928
2419,Conquest of the Planet of the Apes,1700000,1688,en,12.843375,9700000.0,6.1,243.0,0.00971656758338
2420,Escape from the Planet of the Apes,2500000,1687,en,12.120267,12348905.0,6.3,270.0,0.000570579431951
2422,Earthquake,7000000,11123,en,6.657792,79666653.0,5.6,76.0,0.000460520503111
2423,The Concorde... Airport '79,14000000,29723,en,3.514331,13015688.0,4.7,45.0,0.000419626856456
2426,Analyze This,80000000,9535,en,7.634017,176885658.0,6.4,512.0,0.00654363678768
2427,The Corruptor,25000000,9455,en,9.208831,15156200.0,6.1,60.0,0.00845949072391
2428,Cruel Intentions,10500000,796,en,8.181065,75902208.0,6.6,848.0,0.0365676395595
2429,"Lock, Stock and Two Smoking Barrels",1350000,100,en,4.60786,3897569.0,7.5,1671.0,0.00064617494354
2433,The Deep End of the Ocean,38000000,30943,en,5.78468,28121100.0,6.0,58.0,0.0209112074226
2435,The Rage: Carrie 2,21000000,7341,en,4.766591,17762705.0,5.1,79.0,0.0185214020312
2438,Dead Ringers,13000000,9540,en,5.53202,8038508.0,7.0,176.0,0.000335361488396
2442,Baby Geniuses,12000000,22345,en,7.707344,36450736.0,3.3,75.0,0.00447029387578
2445,Forces of Nature,75000000,1641,en,7.906035,93888180.0,5.1,141.0,0.0421917997301
2446,The King and I,25000000,47288,en,1.466461,12000000.0,5.0,23.0,0.00778042152524
2452,The King and I,4550000,16520,en,7.630723,21300000.0,7.3,103.0,0.00114642421249
2455,The Mod Squad,50000000,16379,en,3.826503,13260050.0,4.1,37.0,0.000132891815156
2458,The Matrix,63000000,603,en,33.366332,463517383.0,7.9,9079.0,0.0138046573848
2459,10 Things I Hate About You,16000000,4951,en,12.069966,53478166.0,7.3,1768.0,8.85034751263e-05
2461,The Out-of-Towners,75000000,8970,en,9.019881,29000000.0,5.1,46.0,0.00394751410931
2466,Following,6000,11660,en,5.283661,48482.0,7.2,363.0,0.105943098664
2467,Go,6500000,9430,en,8.344282,28451622.0,7.0,198.0,0.0512746237218
2468,Never Been Kissed,25000000,11355,en,7.257679,84565230.0,5.8,378.0,0.0357181951404
2469,Twin Dragons,10000000,18764,cn,10.222076,8359717.0,6.2,72.0,0.00449612969533
2470,Cookie's Fortune,10000000,9465,en,3.380684,10920544.0,6.2,35.0,0.109483510256
2474,Life,80000000,6522,en,7.579444,73345029.0,6.4,179.0,0.00253025186248
2480,Open Your Eyes,2900000,1902,es,8.842959,368234.0,7.4,211.0,0.059970099479
2483,Lost & Found,1,39964,en,1.337096,100.0,4.9,26.0,0.553299486637
2486,eXistenZ,15000000,1946,en,11.446138,2856712.0,6.7,487.0,0.00272956606932
2491,Entrapment,66000000,1844,en,10.62333,212404396.0,6.0,613.0,0.00748260971159
2492,Idle Hands,25000000,6552,en,6.851628,4152230.0,6.1,183.0,0.0132249305025
2498,Mildred Pierce,1453000,3309,en,4.497049,5638000.0,7.4,81.0,0.00256112427451
2499,Night of the Comet,3000000,18462,en,4.947043,14418922.0,6.1,94.0,0.0176651217043
2502,Dick Tracy,47000000,8592,en,8.304776,103738726.0,5.9,258.0,0.0160575192422
2503,The Mummy,80000000,564,en,23.984065,415885488.0,6.6,2796.0,0.00644561089575
2504,The Castle,786675,13852,en,4.337545,861789.0,7.4,69.0,2.77992767224e-05
2512,Edge of Seventeen,1500000,4927,en,1.666469,870751.0,5.7,29.0,0.00960859935731
2514,Star Wars: Episode I - The Phantom Menace,115000000,1893,en,15.649091,924317558.0,6.4,4526.0,0.0060371523723
2526,Superman,55000000,1924,en,15.460102,300218018.0,6.9,1042.0,0.000857204839122
2527,Superman II,54000000,8536,en,10.301621,190458706.0,6.5,642.0,0.0445829704404
2528,Superman III,39000000,9531,en,9.614638,75850624.0,5.3,500.0,0.0295240543783
2529,Superman IV: The Quest for Peace,17000000,11411,en,7.990679,19300000.0,4.1,327.0,0.0351546965539
2530,Dracula,355000,138,en,7.503126,1012189.0,7.2,254.0,0.00553698418662
2533,Frankenstein,291000,3035,en,8.091603,12000000.0,7.3,295.0,0.0103729143739
2542,The Rocky Horror Picture Show,1200000,36685,en,8.699428,112892319.0,7.4,703.0,0.176576271653
2544,It Came from Hollywood,5000000,30168,en,1.629796,2091037.0,6.0,12.0,0.00163525645621
2547,The War of the Worlds,2000000,8974,en,5.609399,2000000.0,6.8,172.0,0.000352452538209
2556,Notting Hill,42000000,509,en,9.874043,363889678.0,7.0,1309.0,0.00372533150949
2557,The Thirteenth Floor,16000000,1090,en,9.356587,18564088.0,6.8,381.0,0.000212762548472
2567,Limbo,8000000,62676,en,1.969282,1997807.0,7.0,17.0,0.000661266501993
2568,Austin Powers: The Spy Who Shagged Me,33000000,817,en,13.984182,310940086.0,6.1,1034.0,0.0141805429012
2571,The Red Violin,18000000,14283,en,7.725843,9495408.0,7.2,101.0,0.0413522310555
2572,Tarzan,150000000,37135,en,12.453452,448000000.0,7.1,1715.0,0.657708108425
2573,The General's Daughter,60000000,2275,en,14.039655,149705852.0,6.1,209.0,0.00105936196633
2575,An Ideal Husband,14000000,24137,en,3.873796,18535191.0,6.3,47.0,0.000744905904867
2577,Run Lola Run,1530000,104,de,7.765379,7267585.0,7.2,672.0,0.00787281710654
2579,Big Daddy,34200000,9032,en,8.011869,234801895.0,6.2,898.0,0.0151513917372
2581,The Dinner Game,12500000,9421,fr,6.122739,78599508.0,7.7,408.0,0.000758067355491
2584,Arachnophobia,31000000,6488,en,5.418428,53208180.0,6.2,445.0,9.07151661522e-06
2586,Wild Wild West,170000000,8487,en,9.887602,222104681.0,5.1,1042.0,0.00197355076671
2591,American Pie,11000000,2105,en,18.344227,235483004.0,6.4,2358.0,0.302230119705
2594,Muppets from Space,24000000,10208,en,7.531668,16290976.0,5.8,94.0,0.00259464676492
2595,The Blair Witch Project,60000,2667,en,14.838386,248000000.0,6.3,1090.0,0.00656813429669
2597,Eyes Wide Shut,65000000,345,en,13.268484,162091208.0,7.1,1266.0,0.00209684134461
2598,Lake Placid,27000000,9825,en,13.787108,56870414.0,5.5,251.0,0.000104834478407
2599,The Wood,6000000,16158,en,4.414077,25059640.0,7.1,34.0,0.000708601961378
2601,Ghostbusters,30000000,620,en,22.089729,295212467.0,7.3,2431.0,0.0048592435196
2602,Ghostbusters II,37000000,2978,en,16.414239,215394738.0,6.3,1131.0,0.00201106071472
2603,Drop Dead Gorgeous,10000000,10490,en,6.396767,10571408.0,6.5,88.0,0.334114968777
2604,The Haunting,80000000,11618,en,8.967638,91188905.0,5.2,374.0,0.000255662511336
2606,Trick,450000,1812,en,2.493289,2049595.0,6.7,24.0,0.00531148724258
2607,Deep Blue Sea,60000000,8914,en,7.493615,73648228.0,5.6,616.0,0.0411241315305
2608,Mystery Men,68000000,9824,en,10.466306,29762011.0,5.7,255.0,0.00135016127024
2609,Runaway Bride,70000000,4806,en,8.919469,309457509.0,5.8,472.0,0.144988954067
2613,Spartacus,12000000,967,en,11.110376,60000000.0,7.3,472.0,0.112653002143
2614,Lolita,2000000,802,en,9.551293,9250000.0,7.3,409.0,0.0033589429222
2615,Barry Lyndon,11000000,3175,en,14.003467,20000000.0,7.7,521.0,0.001313471701
2618,Vibes,1884000,21185,en,7.368928,1883811.0,6.0,10.0,0.0364490970969
2620,The Golden Child,25000000,10136,en,8.236472,79817939.0,5.6,311.0,0.00135495699942
2624,The Color Purple,15000000,873,en,11.573562,146292009.0,7.7,345.0,0.156733185053
2628,Native Son,2000000,108312,en,0.910047,1301121.0,2.0,2.0,0.0420726984739
2630,The Mission,24500000,11416,en,11.241995,17218023.0,7.1,295.0,0.000452984881122
2631,Little Shop of Horrors,25000000,10776,en,7.409179,38748395.0,6.7,389.0,0.000504077819642
2644,Dick,13000000,16406,en,3.960622,27500000.0,5.7,67.0,0.0819422900677
2646,The Iron Giant,70000000,10386,en,15.441459,23159305.0,7.6,1470.0,0.100882641971
2647,The Sixth Sense,40000000,745,en,18.449169,672806292.0,7.7,3223.0,0.0234576761723
2648,The Thomas Crown Affair,48000000,913,en,10.961226,124305181.0,6.7,349.0,0.00328439380974
2656,Brokedown Palace,25000000,17707,en,6.570918,13000000.0,6.2,115.0,0.00144737225492
2657,Detroit Rock City,6500000,9781,en,6.074832,4217115.0,6.7,102.0,2.14224019146e-05
2663,Never Talk to Strangers,6400000,48781,en,7.506958,6.0,4.7,31.0,0.112628124654
2665,The Raven,350000,29056,en,4.817514,1499275.0,6.3,56.0,0.0114455362782
2667,The Pit and the Pendulum,200000,28501,en,4.392322,2000000.0,6.9,67.0,0.030089231208
2674,Damien: Omen II,6800000,10766,en,10.235373,26518355.0,6.1,170.0,0.000708392588422
2676,Airplane!,3500000,813,en,13.063203,83453539.0,7.1,1104.0,0.00214040395804
2678,An American Werewolf in Paris,22000000,9406,en,7.145784,26570463.0,5.3,154.0,0.00194647640456
2680,National Lampoon's Vacation,15000000,11153,en,7.747432,61399552.0,7.1,412.0,0.194586917758
2682,Big,18000000,2280,en,9.562292,151668774.0,6.9,1022.0,0.00170311075635
2688,The Pelican Brief,45000000,9944,en,8.708306,195268056.0,6.3,377.0,0.00269003282301
2691,Teaching Mrs. Tingle,13000000,10342,en,8.345784,8946237.0,5.3,94.0,0.00970279425383
2692,Universal Soldier: The Return,45000000,10366,en,7.805145,10667893.0,4.2,138.0,0.00191184226424
2697,In Too Deep,7000000,22314,en,1.615319,14011454.0,6.3,18.0,0.00291262706742
2711,The 13th Warrior,160000000,1911,en,10.308026,61698899.0,6.4,524.0,0.000761733681429
2712,The Astronaut's Wife,75000000,2900,en,14.705865,19598588.0,5.5,263.0,0.00168074318208
2720,Chill Factor,70000000,2162,en,3.062626,11263966.0,5.3,30.0,0.000104963713966
2721,Outside Providence,7000000,14578,en,3.10924,7292175.0,5.6,30.0,0.00620529893786
2725,Stigmata,29000000,10307,en,9.304144,50041732.0,6.0,248.0,0.00149413582403
2726,Stir of Echoes,12000000,11601,en,5.875606,21133087.0,6.5,334.0,0.0178051646799
2736,A Soldier's Story,6000000,26522,en,12.019262,21821347.0,6.2,54.0,0.0790252611041
2742,American Beauty,15000000,14,en,20.726578,356296601.0,7.9,3438.0,0.0797794908285
2743,Stop Making Sense,1200000,24128,en,2.359569,4978922.0,8.7,47.0,0.427677959204
2744,Blue Streak,65000000,11001,en,6.229424,117758500.0,6.1,359.0,0.0150219071656
2746,Caligula,17500000,9453,en,11.157288,23438120.0,5.3,147.0,0.000532761740033
2747,A Hard Day's Night,560000,704,en,5.719266,12299668.0,7.3,172.0,0.00138724246062
2750,The Buddy Holly Story,1200000,24153,en,2.017413,14363400.0,7.5,33.0,0.00506701506674
2751,Fright Night,9000000,11797,en,7.472509,24922237.0,6.9,279.0,4.55110457551e-05
2755,Deliverance,2000000,10669,en,8.476681,46122355.0,7.2,441.0,0.00607075123116
2756,Excalibur,11000000,11527,en,8.800455,34967437.0,7.1,241.0,0.0211313832551
2760,Thumbelina,28000000,28032,en,13.856199,11373501.0,6.1,117.0,0.0603247769177
2761,Tommy,5000000,11326,en,6.335814,34251525.0,6.5,69.0,0.00113498442806
2765,Double Jeopardy,70000000,10398,en,10.876463,177841558.0,6.2,282.0,0.00472148275003
2769,Guinevere,2600000,60994,en,4.004968,614202.0,5.9,9.0,0.54264241457
2772,Drive Me Crazy,8000000,14429,en,4.606395,22593409.0,5.8,62.0,0.284372240305
2773,"Mystery, Alaska",28000000,15198,en,4.512767,8888143.0,6.0,71.0,3.80498750019e-05
2774,Three Kings,75000000,6415,en,12.287636,108000000.0,6.6,709.0,0.0139702707529
2775,"Happy, Texas",1700000,24066,en,2.939685,1943649.0,5.5,39.0,0.00162313703913
2782,The Dark Half,15000000,10349,en,13.412785,10611160.0,5.4,91.0,0.0295386612415
2784,Monkey Shines,7000000,29787,en,8.120652,5344577.0,6.2,58.0,0.00699960114434
2785,Phantasm,300000,9638,en,6.609336,11988469.0,6.5,166.0,0.00743302563205
2786,Psycho II,5000000,10576,en,6.370495,34725000.0,6.0,128.0,0.00780019629747
2790,Random Hearts,64000000,12618,en,4.140398,74608570.0,5.3,63.0,0.00495170801878
2792,Boys Don't Cry,2000000,226,en,6.536006,11540607.0,7.2,360.0,0.0181128364056
2796,The Limey,10000000,10388,en,7.807741,3193102.0,6.6,110.0,0.00265832873993
2799,Risky Business,6200000,9346,en,6.505209,63541777.0,6.4,340.0,0.262254536152
2800,Total Recall,65000000,861,en,12.954444,261317921.0,7.1,1745.0,0.00134802586399
2802,Ferris Bueller's Day Off,6000000,9377,en,12.724645,70136369.0,7.5,1340.0,0.00536054186523
2803,The Year of Living Dangerously,6000000,11541,en,13.293569,1317657.0,6.8,84.0,0.003530733753
2805,High Plains Drifter,5500000,11901,en,9.91087,15700000.0,7.4,284.0,0.0122095821425
2806,Hang 'em High,1800000,4929,en,7.266576,6800000.0,6.7,197.0,0.00947372335941
2813,Reds,32000000,18254,en,5.463216,40382659.0,7.1,70.0,0.0592217296362
2823,Niagara,1250000,19997,en,14.605464,8500000.0,6.7,84.0,0.100600518286
2825,South Pacific,6000000,17352,en,2.747118,36800000.0,6.3,29.0,0.654990613461
2826,Flashdance,4000000,535,en,9.888958,92921203.0,6.1,313.0,0.197168275714
2828,The Dirty Dozen,5400000,1654,en,15.640007,45300000.0,7.5,309.0,0.000319319282426
2831,Goldfinger,2500000,658,en,13.78884,124881062.0,7.2,1005.0,0.00165105180349
2832,From Russia with Love,2000000,657,en,12.536729,78898765.0,6.9,773.0,0.00150974059943
2833,Dr. No,950000,646,en,19.931606,59600000.0,6.9,953.0,0.00109091203194
2834,The Blue Lagoon,4500000,5689,en,11.578578,58853106.0,5.8,422.0,0.348672181368
2835,A Fistful of Dollars,200000,391,it,12.429704,14500000.0,7.6,909.0,0.0164739619941
2836,Hard Eight,3000000,8052,en,7.04756,222559.0,6.8,177.0,0.00330005004071
2837,Home Alone 2: Lost in New York,18000000,772,en,13.293722,358991681.0,6.3,2459.0,0.00147505779751
2840,Someone to Watch Over Me,17000000,31650,en,3.50111,10278549.0,5.8,38.0,0.00214919238351
2841,Sparrows,463455,73575,en,0.445526,966878.0,8.0,9.0,0.00533077167347
2842,Naturally Native,700000,302579,en,0.101618,10508.0,0.0,0.0,0.0183202009648
2843,Fight Club,63000000,550,en,63.869599,100853753.0,8.3,9678.0,0.00135419587605
2845,The Story of Us,50000000,12220,en,5.769957,58900031.0,5.9,75.0,0.12705309689
2852,Time Bandits,5000000,36819,en,9.841623,42365581.0,6.6,255.0,0.00104878703132
2857,Crimes and Misdemeanors,19000000,11562,en,6.645295,18254702.0,7.4,201.0,0.000683261372615
2859,The Best Man,9000000,16162,en,5.055141,34573780.0,6.8,38.0,0.0129827121273
2869,RoboCop,13000000,5548,en,13.485583,53000000.0,7.1,1494.0,0.070076175034
2870,RoboCop 2,35000000,5549,en,10.969876,45681173.0,5.6,498.0,0.103636436164
2871,Who Framed Roger Rabbit,70000000,856,en,16.78596,329803958.0,7.2,1466.0,0.000229434954235
2873,For Your Eyes Only,28000000,699,en,9.765123,195312802.0,6.3,497.0,0.00188110396266
2874,Licence to Kill,32000000,709,en,11.137888,156167015.0,5.9,549.0,0.0523451305926
2875,Live and Let Die,7000000,253,en,9.773768,161777836.0,6.4,540.0,0.00183771341108
2877,Thunderball,5500000,660,en,10.517835,141195658.0,6.5,572.0,0.00913055893034
2879,House on Haunted Hill,19000000,11377,en,10.187278,40846082.0,5.5,211.0,0.00194325344637
2880,Music of the Heart,27000000,26149,en,3.104943,14859394.0,6.3,49.0,5.69198491576e-05
2881,Being John Malkovich,13000000,492,en,11.416319,22863596.0,7.3,1124.0,0.00040687341243
2882,Dreaming of Joseph Lees,2000000,108346,en,1.241349,7.0,6.0,2.0,0.18923842907
2884,Princess Mononoke,26500000,128,ja,17.166725,159375308.0,8.2,2041.0,0.00622657733038
2888,The Bachelor,51000000,2020,en,5.061725,36911617.0,4.5,84.0,0.0017132977955
2889,The Bone Collector,73000000,9481,en,8.884406,151493655.0,6.5,843.0,0.00145975116175
2890,The Insider,90000000,9008,en,11.3569,60289912.0,7.3,489.0,0.00918698962778
2900,Creepshow,8000000,16281,en,10.434018,21028755.0,6.7,228.0,0.0115157729015
2901,Creepshow 2,3500000,16288,en,9.330087,14000000.0,5.9,133.0,0.000550483586267
2902,Re-Animator,900000,1694,en,9.867238,2023414.0,7.0,263.0,0.000581216358114
2903,Drugstore Cowboy,2500000,476,en,8.026112,4729352.0,7.0,117.0,0.349077939987
2904,Falling Down,25000000,37094,en,10.175138,40903593.0,7.2,837.0,0.000324573222315
2907,My Best Girl,483103,73969,en,0.205671,1027757.0,8.0,2.0,0.012117321603
2912,Nighthawks,5000000,21610,en,5.830675,19905359.0,6.4,87.0,0.00202034623362
2916,Spaceballs,22700000,957,en,9.10373,38119483.0,6.7,924.0,0.00109090365004
2917,Robin Hood,15000000,11886,en,11.179855,32056467.0,7.0,1155.0,0.160922586918
2919,Quest for Fire,12000000,62204,xx,8.341166,55260558.0,7.2,111.0,0.00444569857791
2920,Little Big Man,15000000,11040,en,8.186994,31559552.0,7.5,128.0,0.0309310760349
2922,Trading Places,40600000,1621,en,14.285052,90400000.0,7.1,763.0,0.000216430518776
2931,Under the Rainbow,20000000,47941,en,0.69162,2297493.0,4.9,7.0,0.000771920138504
2934,Anywhere But Here,23000000,21349,en,12.593734,18653615.0,5.9,67.0,0.021127903834
2935,Dogma,10000000,1832,en,8.559088,30652890.0,6.8,842.0,0.00710802245885
2936,The Messenger: The Story of Joan of Arc,60000000,10047,fr,9.471838,66976317.0,6.2,373.0,0.0142431845888
2937,Pokémon: The First Movie: Mewtwo Strikes Back,30000000,10228,ja,7.556826,163644662.0,6.7,336.0,0.0106436703354
2945,The Longest Day,10000000,9289,en,10.770928,50100000.0,7.3,237.0,0.049624543637
2949,Tora! Tora! Tora!,25485000,11165,en,7.262326,29548291.0,6.9,150.0,0.0123939532787
2950,Women on the Verge of a Nervous Breakdown,700000,4203,es,5.470331,7179298.0,7.6,149.0,0.00536929490045
2951,The Verdict,16000000,24226,en,9.596883,53977250.0,7.4,132.0,0.000753171567339
2964,Sleepy Hollow,100000000,2668,en,11.072361,206071502.0,6.9,1774.0,0.0522026568651
2965,The World Is Not Enough,135000000,36643,en,12.130127,361832400.0,6.0,878.0,0.00157762877643
2966,All About My Mother,8272296,99,es,10.000915,67872296.0,7.4,337.0,0.00145076960325
2972,Bicycle Thieves,133000,5156,it,13.233136,361712.0,8.0,404.0,0.00489560281858
2973,Matewan,4000000,24276,en,3.350126,1680358.0,7.2,33.0,0.00448014680296
2981,The Natural,28000000,11393,en,12.319855,47951979.0,7.0,162.0,0.00132412556559
2984,Fatal Attraction,14000000,10998,en,14.260779,320145693.0,6.6,305.0,0.0821104049683
2986,Stanley & Iris,23000000,36094,en,1.914881,5820015.0,5.7,26.0,0.010393826291
2987,Midnight Run,30000000,9013,en,5.564321,38413606.0,7.2,241.0,0.00941223371774
2990,Backdraft,75000000,2924,en,9.883727,152368585.0,6.4,360.0,0.00297916238196
2991,The Fisher King,24000000,177,en,11.184385,41895491.0,7.2,346.0,0.00267661875114
2992,The River,18000000,38557,en,6.303384,11500000.0,6.5,21.0,0.000436179863755
2996,End of Days,100000000,9946,en,9.62371,211989043.0,5.5,488.0,0.205476120114
2997,Toy Story 2,90000000,863,en,17.547693,497366869.0,7.3,3914.0,0.00270681222901
3000,Ride with the Devil,38000000,22267,en,7.059308,635096.0,6.6,49.0,0.000707684783265
3001,Tumbleweeds,312000,55123,en,0.88888,1281176.0,6.2,11.0,0.28446611762
3008,The End of the Affair,23000000,20024,en,6.200344,10827816.0,6.6,56.0,0.0192708503455
3013,The Bonfire of the Vanities,47000000,9586,en,5.507082,15691192.0,5.3,113.0,0.00289656734094
3024,The Two Jakes,19000000,32669,en,4.476578,10000000.0,6.2,48.0,0.00307820271701
3029,Deuce Bigalow: Male Gigolo,17000000,10402,en,6.567794,65535067.0,5.4,314.0,0.00115060689859
3030,The Green Mile,60000000,497,en,19.96678,284600000.0,8.2,4166.0,0.00379532086663
3031,The Cider House Rules,24000000,1715,en,9.526781,88545092.0,6.9,285.0,0.00327972508967
3035,The Last Picture Show,1300000,25188,en,5.961382,29133000.0,7.6,133.0,0.00135001330636
3039,Bicentennial Man,100000000,2277,en,9.369918,93700000.0,6.9,998.0,0.117434278131
3040,Stuart Little,133000000,10137,en,8.3595,300135367.0,5.8,998.0,0.004268147517
3042,Fantasia 2000,80000000,49948,en,14.972573,90874570.0,7.0,300.0,0.00261104153469
3043,Magnolia,37000000,334,en,9.091636,48451803.0,7.5,844.0,0.00469406880438
3044,Onegin,14000000,30237,en,7.171138,206128.0,5.8,26.0,0.0441629886627
3045,Simpatico,10000000,50116,en,3.143748,929606.0,5.3,6.0,8.3783728769e-05
3056,Any Given Sunday,55000000,9563,en,10.571434,100230832.0,6.8,430.0,0.000473705265904
3057,Man on the Moon,82000000,1850,en,13.217419,47434430.0,6.9,444.0,0.00418470753357
3058,Galaxy Quest,45000000,926,en,15.831374,90683916.0,6.9,722.0,0.00433777924627
3059,The Talented Mr. Ripley,40000000,1213,en,11.65502,128798265.0,7.1,790.0,0.00401773955673
3060,Next Friday,11000000,10471,en,10.06545,59827328.0,6.5,145.0,0.0116719556972
3061,The Hurricane,50000000,10400,en,5.716009,73956241.0,7.2,401.0,0.0790911838412
3062,Angela's Ashes,25,10397,en,4.496585,13.0,7.0,59.0,0.000147285347339
3063,Play It to the Bone,24000000,20761,en,4.347609,8434146.0,5.7,53.0,0.090844720602
3073,Supernova,90000000,10384,en,5.496624,14828081.0,4.9,109.0,0.00259562185965
3075,The Terrorist,24554,48233,en,0.154526,140021.0,8.1,4.0,0.067540563643
3080,Papillon,12000000,5924,en,15.698433,53267000.0,7.8,445.0,0.0131759848446
3085,Dead Calm,10000000,10493,en,13.464246,7825000.0,6.6,178.0,0.0016067000106
3092,Fast Times at Ridgemont High,4500000,13342,en,14.658885,27092880.0,7.0,330.0,0.0201342329383
3093,A Cry in the Dark,15000000,35119,en,3.970538,6908797.0,6.4,49.0,0.034544095397
3095,Batman: Mask of the Phantasm,6000000,14919,en,7.29114,5617391.0,7.4,218.0,0.0141953490674
3100,Poison,250000,47620,en,1.924535,609524.0,6.4,15.0,0.000825006747618
3121,Isn't She Great,36000000,75531,de,0.907927,3003296.0,4.6,14.0,0.000821041525342
3128,Malcolm X,34000000,1883,en,14.207001,48169908.0,7.3,377.0,0.010166364722
3129,Sister Act,31000000,2005,en,18.83065,231605150.0,6.5,713.0,0.00692284526303
3130,Sister Act 2: Back in the Habit,38000000,6279,en,12.986842,57319029.0,5.9,384.0,0.0219095125794
3131,The Hand that Rocks the Cradle,11700000,11087,en,6.672715,88036683.0,6.5,196.0,0.00307574705221
3132,Alive,32000000,7305,en,8.662287,36733909.0,6.7,383.0,0.00314960931428
